id,label
1317,Mike Carlin
1322,Mary Wilshire
1324,Carla Conway
1326,Dan Green
9519,Ted Halsted
9520,Ted Mckeever
1329,Ethan Van Sciver
1330,David Anthony Kraft
1331,Mike Vosburg
1332,Brandon Choi
1333,Jim Valentino
9521,Ted Naifeh
1335,Joe Phillips
1337,Ed Benes
1338,Ryan Benjamin
1340,James Robinson
1341,Norm Breyfogle
1342,Russ Heath
1343,John Totleben
9537,Thomas Florimonte
1346,Lee Hammock
1347,Brett Lewis
1348,Andrew Robinson
1349,Ed Lee
1350,Jean Moebius Giraud
1351,Bob Powell
1352,Mike W. Barr
1353,Greg Larocque
1354,Rob Haynes
1355,Howard James
1356,John Forte
1357,Harry Sahle
1358,Al Avison
9550,Tim Seeley
1359,Wayne Boring
1361,Tom Mullin
1362,Thomas Yeates
9554,Timothy Zahn
9556,Todd Britton
9555,Toby Cypress
1363,George R. r. Martin
1364,Ben Avery
1368,Niko Henrichon
1369,Gerald Parel
1370,Chris Kipiniak
1371,Terry Pallot
1372,Mico Suayan
9565,Tom Defalco
9564,Tom Cohen
1374,Sonia Oback
9573,Tom Scioli
9577,Tomas Giorello
1387,Adriano Batista
9580,Tonci Zonjic
1388,Jake Black
1389,Fabiano Silva Neves
1393,Dennis Jensen
1394,Bob Budiansky
9586,Tony Moore
1396,Ron Randall
1397,Kevin West
1399,Michael Lent
1400,Bong Dazo
1401,Afua Richardson
1406,Kano
9598,Kenneth Rocafort
1411,Mike S. Miller
1421,Tomm Coker
9614,Tristan Schane
1423,David Sexton
1424,James Fenimore Cooper
1426,Denis Medri
1428,James Cordeiro
1429,Vitor Ishimura
1430,Ronan Cliquet
1433,Mike Avon Oeming
1437,Ray Gill
1439,Al Gabriele
1442,Ed Robbins
1444,Basil Wolverton
1446,Sid Greene
1447,Don Rico
1448,Carl Pfeufer
1449,George Klein
1450,Ken Bald
1451,Charles Nicholas
1452,Vince Alascia
9644,Vasilis Lolos
1454,Jimmy Thompson
9647,Victor Gischler
1456,Jack Binder
9643,Valerie D'ORAZIO
1453,Allen Simon
1460,Harold DeLay
9654,Vincenzo Cucca
1469,Bill Finger
9666,Wayne Vansant
9669,Werther Dell'Edera
9670,Wes Craig
1480,Jack DArcy
1481,Hank Chapman
1483,George Kapitan
9677,Will Pfeifer
1485,Andrew Mcwhiney
1488,Ray Houlihan
9681,William Messner-Loebs
1491,Ed Winiarski
1492,Bob Oksner
1493,Chad Grothkopf
1494,Al Fagaly
9683,William Jacob Rougemont
1495,Louis Ferstadt
9689,Wyatt Cenac
9688,Wing Shin Ma
1499,Otto Binder
1509,Reed Crandall
1510,Ray Cummings
1511,Mac Raboy
1512,Zac Gabel
1515,Vic Dowd
1518,George Mandell
1519,Frank Giacoia
1523,Vince Colletta
1524,Alex Toth
9718,Jess Harold
1527,Jay Scott Pike
1530,Bob Forgione
9729,Ardian Sayif
1547,H.e. Huntley
1560,Chic Stone
1576,Joe Maneely
9775,Mateus Santolouco
9778,Nathan Fox
1586,Sam Kweskin
9779,Nancy Butler
1602,Fred Kida
9799,David Baldeon
1612,John Buscema
1616,Vic Carrabotta
1620,Jack Katz
1623,Robert Q. Sale
1626,Al Eadeh
1627,Mort Lawrence
1631,Sy Moskowitz
1633,Kurt Schaffenberger
1634,Norman Maurer
1636,Joe Orlando
1639,Jack Keller
1641,Mort Meskin
1661,Jack Davis
1675,Howard Post
1676,Gantz
1709,Johnny Craig
9937,Jim Charalampidis
9943,Gianluca Gugliotta
9965,Will Panzo
9967,Jim Mccann
9970,Avalon Lan Medina
9983,Ernie Hart
1791,Script Pages
9992,Tim Levins
9998,Elena Casagrande
9999,Eugene Son
10000,J. Christopher Schmidt
10004,Mike O'sullivan
10009,Andres Guinaldo Isabel
1819,Rick Parker
1827,John Byrne
10023,Cullen Bunn
10025,Ryan Dunlavey
10027,Kevin Garcia
1837,Pablo Marcos
10033,Gabriel Guzman
10035,Zachary Baldus
10037,Matteo Casali
10045,Seth Grahame-Smith
10049,Chris Staggs
10051,Steven Sanders
10053,Michael Chatham
1863,Carl Potts
10055,Guillermo Ortego
10056,First Edition Publishing, Inc.
10059,Chris Acosta
10061,Ibraim Roberson
10062,Marc Bernardin
10063,Jake Bilbao
10066,Matt Kindt
10067,Michael Kupperman
10071,THOMAS PICCIRILLI
10076,Max Cannon
10077,Tony Millionaire
10082,Dalibor Talajic
10083,Aaron Johnston
10087,Elia Bonetti
10090,Joe Quinones
10092,Kai Spannuth
1901,Tom Morgan
10093,Brannon Bragga
10098,Bob Bolling
10099,Warren Kremer
10100,Sid Jacobson
1909,Steve Buccellato
10102,David Gallaher
10103,Jason Shawn Alexander
10104,David Liss
1912,Gracine Tanaka
1914,Dan Panosian
10107,Mirco Pierfederici
10108,Marco Castiello
1917,Kevin Tinsley
10113,Ryan Devall
10115,Neil Edwards
10116,Arturo Lozzi
10117,Chris Jones
1926,Mike Mignola
10119,Andrea Mutti
10120,Roberto DI Salvo
10118,David Wellington
10124,Alessandro Vitti
10125,Emma Rios
1932,Ed Lazellari
10131,Pow Rodrix
1940,Karl Altstaetter
10132,Allan Jefferson Souza
10134,Andres Guinaldo
10135,Michael Kronenberg
10136,Kyle Higgins
1945,Mark Bernardo
10137,Michele Bertilorenzi
10141,Rebekah Isaacs
10143,ALEX MASSACCI
10144,Pepe Larraz
10145,Alec Siegel
10146,Gabriel Hernandez Walta
10147,Scott Reed
10149,Peter Vale
1958,Jeff Powell
10154,Miguel Angel Munera Sancho
10156,Francesca Ciregia
10157,Antony Johnston
1967,Brad K. Joyce
1969,Joe Pimentel
10171,Joshua Fine
10174,Greg Weisman
10178,Sean T. Collins
10180,Harrison Wilcox
10182,Felix Ruiz
10186,James Harren
10188,Miguel Munera
10189,ALBERTO VARANDA
10190,ANGE
10200,Jonathan Maberry
2010,Gene Day
2011,Mike Nasser
10204,Hector Enrique Sevilla Lujan
2027,Luke Mcdonnell
2028,John Morelli
2029,Winslow Mortimer
2030,Bob Wiacek
2039,Bob DeNatale
2042,Charles Vess
2043,Eliot Brown
2044,Carlos Garzon
2046,William Johnson
2050,Denys Cowan
2056,Nel Yomtov
2059,Mike Harris
2062,Jim Fern
2064,Art Nichols
2067,Steve Geiger
10264,Chris Stevens
10271,Sergio Arino
2081,Chris Marrinan
10273,Sarah Cross
10275,Leonel Castellani
10277,Mark Britt
2093,Eric Fein
10288,Marko Djurdjevic
2103,Dana Moreshead
2112,Larry Alexander
10306,Matt Yocum
2120,Liam Sharp
2124,Shawn Mcmanus
10317,Matteo Scalera
10320,Kelly Sue Deconnick
10322,Mike O Sullivan
2133,Tom Brevoort
10326,Ming Doyle
10328,Lucy Knisley
10329,G. Willow Wilson
10332,Kate Beaton
10334,Gilbert Hernandez
10336,Jaime Hernandez
2148,Title
10344,Juan Jose Ryp
10346,Grace Randolph
10353,Ramona Fradon
10355,Carlos Gomez
10363,John Rhett Thomas
10365,Robin Furth
10380,Scott Gimple
2190,Rudy Nebres
10388,Steve Stiles
10389,Ben Brown
10390,Mort Gerberg
10391,Lenny Herman
10392,Justin Theroux
10393,Sylvain Guinebaud
10399,Faith Erin Hicks
10402,Aluir Amancio
2212,Ricardo Villamonte
10405,John Tyler Christopher
10409,Zeb Wells
2224,Don Newton
10427,Steven Hoveke
10432,Dave Johnson
10433,Alvaro Lopez
10443,Federico Dallocchio
10445,Iban Coello
2256,John Wellington
2261,Chris Ivy
2263,James Fry
2264,Kent Williams
10458,Russ Chappell
10459,Kevin Wasser
2267,Jim Reddington
10461,Carla Speed Mcneil
10462,Emma Vieceli
2278,Paul Abrams
2279,R. Jones
2283,Kirk Jarvinen
10477,Benjamin Dewey
10478,Giancarlo Caracuzzo
10479,Esdras Cristobal
10483,Daniel HDR
2292,Gordon Purcell
2291,Hector Collazo
2296,Glenn Herdling
2297,Mike Gustovich
2300,Jim Hall
2302,Jan Duursema
10494,Agnieszka Garbowska
2306,Yancey Labat
2311,Stewart Johnson
2318,Jeffrey Moore
2321,Jeff Matsuda
2329,Fabio Laguna
2333,Frank Lopez
2338,Luke Ross
2340,John Statema
10532,HARRY ARTHUR SUYDAM
2376,James Brock
10572,ALEC FRANCIS SIEGEL
